place_id,name,lat,lon,full_address,city,province,postal_code,website,phone
node/922164255,Wimpy's Diner,43.7350437,-79.7071812,,,,,,
node/2966355208,Montana's,43.7456053,-79.697795,,,,,,
node/3599545625,GoodEgg Diner,43.738078,-79.7009167,,,,,,
node/4354224256,Cora,43.7447805,-79.6967243,,,,,,
node/4354928501,Denny's,43.74629,-79.6917437,,,,,,
node/4354928506,Khazana,43.746537,-79.6984522,,,,,https://www.khazanacanada.com/,
node/4354928508,Onyxx Sports Bar & Grill,43.7481776,-79.6981407,,,,,,
node/4368024704,Baba's Pizza & Wings,43.7243818,-79.6944024,"8550, Torbram Road, L6T 5C8",,,L6T 5C8,http://www.babaspizza.ca,+1-905-790-6786
node/4368027701,Hakka Yummy Yummy,43.724473,-79.6943171,"8550, Torbram Road, L6T 3P1",,,L6T 3P1,https://hakkayummyyummyrestaurant.foodpages.ca,+1-905-799-1388
node/5570100893,Firangi,43.7428139,-79.6981954,"2880, Queen Street East, Brampton, L6S 6H4",Brampton,,L6S 6H4,https://firangi.ca/,+1-905-791-4678
node/6547808716,Heritage Fish & Chips,43.739199,-79.7024591,,,,,,
node/6547808725,Sunrise Caribbean Restaurant,43.7423145,-79.6991305,,,,,,
node/6547808731,Wild Wing,43.7426396,-79.6985029,,,,,,
node/6547808734,Hakka Flavours,43.7427544,-79.6982903,,,,,,
node/6547808748,Mr. Greek,43.7408336,-79.6981153,,,,,,
node/6575339728,Back-A-Yard Kitchen,43.7222375,-79.6985246,,,,,,
node/7195448399,Tandoori Masala,43.7474201,-79.7140652,,,,,,
node/7195448402,Mangia Mangia,43.7475306,-79.7151864,,,,,,
node/10977113202,Annai,43.724593,-79.6946001,"8550, Torbram Road, Brampton, J4Y 0K7",Brampton,,J4Y 0K7,https://annaitakeout.ca/,+1-905-799-9883
way/34571342,Paranthe Wali Gali,43.7379907,-79.703371,,,,,,
way/34722257,Speranza Restaurant,43.748716,-79.6775771,,,,,https://speranzahall.ca/restaurant,
way/187857987,Boston Pizza,43.7385674,-79.7027767,,,,,,
way/661951651,Kelsey's,43.7419885,-79.698685,,,,,,
way/661951666,Top Shawarma House,43.749308,-79.697782,"100, Maritime Ontario Boulevard, Brampton, L6S0E7",Brampton,,L6S0E7,https://www.topshawarmahouse.com/,+1 905-458-4446
node/2077031191,Karahi Boys,43.715086,-79.7268736,"48, Peel Centre Drive, Brampton, L6T 5M2",Brampton,,L6T 5M2,https://www.karahiboys.com/,+1-905-712-8777
node/2077031205,Pickle Barrel,43.7169641,-79.7227138,,,,,,
node/2214561392,All in One Rest,43.7086228,-79.694717,,,,,,
node/3853511159,Airport Sweets & Tandoori Restaurant,43.7627172,-79.720899,"9899, Airport Road",,,,,
node/4354940911,Punjab by Nature,43.7621877,-79.7229618,,,,,,
node/4354940914,The Spot Bar & Lounge,43.7624263,-79.7227117,,,,,,
node/4462394910,August 8,43.7164693,-79.7233438,,,,,https://www.august8.ca/,+1-905-791-1080
node/4877032725,Golden Palace Chinese Restaurant,43.7491498,-79.7276332,,,,,,
node/4877041123,Daal chini Chines Restaurant,43.7580147,-79.7368387,,,,,,
node/5435792321,Brar Vegetarian Indian Restaurant,43.7607223,-79.7245789,,,,,,
node/5794283706,Rajdhani,43.7516098,-79.7382626,,,,,,
node/5794283707,Madras,43.7519663,-79.7377831,,,,,,
node/5794283708,Giggling Tomatoes,43.7518433,-79.7374754,,,,,,
node/6547874057,Shelby's Legendary Shawarma,43.7150617,-79.7267626,"48, Peel Centre Drive, Brampton, L6T 5M2",Brampton,,L6T 5M2,https://www.shelbys.ca/,+1-289-323-0671
node/6547874069,Milan,43.7136998,-79.7276531,"14, Lisa Street, Brampton, L6T 4W2",Brampton,,L6T 4W2,https://www.eatmilan.com,+1 905-796-7070
node/6547874071,Golden Eggs,43.7138781,-79.7274975,"14, Lisa Street, Brampton, L6T 4W2",Brampton,,L6T 4W2,https://www.goldeneggsalldaybreakfast.ca,+1 905-497-7955
node/6547874083,Oscar's Roadhouse,43.7256047,-79.7153941,,,,,,
node/6575339742,Rejeanne's Bar & Grill,43.7215806,-79.6985142,,,,,,
node/7195447618,China Palace,43.760281,-79.7158623,,,,,,
node/7195462075,Hakka No. 1,43.7100178,-79.6839687,,,,,,
node/7195462076,GT Restaurant & Bar,43.7101457,-79.6853915,,,,,,
node/7195490934,Santa Maria,43.7164061,-79.6835283,,,,,,
node/7195490940,Kwality Sweets & Restaurant,43.713457,-79.6816832,,,,,,
node/7195490942,Tandoori Style,43.7122901,-79.6811564,,,,,,
node/10677393109,Pizza Fiamma,43.7648041,-79.659877,"5, Beaumaris Drive, Brampton",Brampton,,,,+1 905 789 1000
node/10705623310,Gladiator Burger,43.7137281,-79.7283579,"16, Lisa Street, Brampton, L6T 5R2",Brampton,,L6T 5R2,https://www.gladiatorburger.ca/,+1 905-216-0666
node/11406233150,Dhaba Junction,43.7251557,-79.7158964,,,,,,
node/11963528572,Lakshini Chowk,43.7082995,-79.6950613,,,,,,
way/194032944,Moxie's,43.713771,-79.725719,"56, Peel Centre Drive, Brampton",Brampton,,,,
way/265891763,Swiss Chalet,43.7615201,-79.7207958,,,,,,
way/486474576,Turtle Jack's,43.7597826,-79.7169952,,,,,https://turtlejacks.com/,+1-905-595-0519
way/662123294,The Keg,43.715183,-79.7261085,"48, Peel Centre Drive, Brampton",Brampton,,,https://thekeg.com/en/locations/bramalea,+1-289-632-6322
node/375835454,Red Lobster,43.7038716,-79.7411306,"368, Queen Street East",,,,,
node/1914199488,Mr. Greek,43.7300436,-79.7652064,,,,,,
node/1914199499,East Side Mario's,43.7297383,-79.7647901,,,,,,
node/1914199505,Montana's,43.7305988,-79.764704,,,,,,
node/1914225527,Wild Wing,43.7293235,-79.7634544,,,,,,
node/2207135404,Asian Wok 'n' Roll,43.7036424,-79.6434798,,,,,,+1-905-671-8997
node/2272192490,Dixie Sweets,43.7401814,-79.7595218,"630, Peter Robertson Boulevard, Brampton, L6R 1T4",Brampton,,L6R 1T4,,+1-905-463-2233
node/2415504042,Tandoori Flame,43.7015732,-79.7115948,"8150, Dixie Road",,,,,
node/2784003957,The Grecian Place Restaurant & Bar,43.6896227,-79.6708215,"1935, Drew Road, Mississauga, L5S 1M7",Mississauga,,L5S 1M7,http://www.thegrecianplace.ca/,+1-905-677-7884
node/2966438835,Lykn Chicken,43.7128091,-79.6552967,,,,,www.lyknchicken.com,
node/3132410472,Punjabi Dhaba,43.7023303,-79.644613,"2855, Derry Road East, Mississauga",Mississauga,,,,
node/3389672726,,43.7078012,-79.7333189,"148, West Drive, Brampton, L6T 5P1",Brampton,,L6T 5P1,,
node/3474140073,Golden Hut,43.6891797,-79.6711675,,,,,,
node/3507050670,Bombay Palace,43.69182,-79.6957109,,,,,,
node/3507050672,Brar's,43.6904999,-79.6941165,"199, Advance Boulevard, L6T 4N2",,,L6T 4N2,https://www.brars.ca,+1-905-799-1625
node/3561284961,Chopstick Cuisine,43.7029686,-79.644284,,,,,,
node/3561284965,Mangoes,43.7035827,-79.6435434,,,,,,
node/3632116936,China Taste,43.7143246,-79.6298283,,,,,,
node/3653499892,Caribbean Star,43.7131143,-79.6332906,,,,,,
node/3653499901,The Kebob,43.7133063,-79.6333631,,,,,,+1-905-678-2324
node/3705929344,Friends Restaurant,43.7048497,-79.7262399,,,,,https://youngjoo3.wixsite.com/friendsrestaurant,+1 905-460-0135
node/3740334285,Veggie Villa,43.7330179,-79.6346815,,,,,,
node/3740334287,Student Junction Indian Restaurant,43.7325819,-79.6350138,,,,,,+1 905-956-8600
node/3829987337,China Garden,43.7052654,-79.6430917,,,,,,
node/3829987340,Mughal Mahal,43.7053279,-79.6420558,,,,,,
node/3838215969,Airport Grill Restaurant,43.704244,-79.6437631,,,,,,
node/3908798667,Johal Sweets,43.784484,-79.6630354,,,,,,
node/4316246407,Brar's,43.7298238,-79.7653473,"140, Great Lakes Drive, Brampton",Brampton,,,https://www.brars.ca/brar-restaurant/locations.php,+1-905-789-8887
node/4401517864,Zorro's Steakhouse & Seafood,43.6976142,-79.65652,"7171, Torbram Road, Mississauga, L4T 3W4",Mississauga,,L4T 3W4,https://www.zorrossteakhouse.com/,+1 905-671-1149
node/4535947651,Guru's Chilli Chinese Cuisine,43.7712526,-79.6611275,,,,,https://www.gurushakkacuisine.com/,+1-905-794-0995
node/4650710347,Kings wok,43.7402177,-79.7595671,"630, Peter Robertson Boulevard, Brampton, L6R 1T4",Brampton,,L6R 1T4,,+1-905-799-8288
node/4877032724,Sweet Palace indian restaurant,43.7580557,-79.737256,,,,,,
node/5931327255,Radica's Hot and Spicy,43.7005548,-79.7419529,"263, Queen Street East",,,,,
node/6226609534,Zimidar Bar and Grill,43.7040812,-79.7389428,,,,,https://www.zimidarbarandgrill.ca/,+1 905 451 0600
node/6226609536,Signature Premium Dining Experience,43.7041948,-79.740758,"378, Queen Street East",,,,,
node/6341484660,Prem Sweets & Restaurant,43.7731721,-79.662649,,,,,,
node/6341484671,Massi Sports Bar & Grill,43.7730259,-79.6633209,,,,,,
node/6341941408,The Nilgris,43.7725116,-79.66069,,,,,,
node/6341941420,Dalchini Hakka Chinese Cuisine,43.7719276,-79.6612747,,,,,,
node/6341947259,Island Style Restaurant & Bar,43.7717415,-79.6605461,,,,,,
node/6341973939,Royal Paan,43.7706865,-79.6588154,,,,,,
node/6341973955,Punjabi by Nature,43.7705133,-79.6601021,,,,,,
node/6538115279,EQ Lounge,43.6949261,-79.6933874,"120, Advance Boulevard",,,,,
node/6547908164,Meltwich Food Co,43.7080395,-79.7336633,"148, West Drive",,,,https://meltwich.com/,
node/6547925946,Punjaabi Chaaphouse,43.7136574,-79.7458674,,,,,,
node/7022947742,Wild Wing,43.7705924,-79.7552722,,,,,,
node/8001315789,Paanchayat,43.7567707,-79.7628637,"20, Dewside Drive",,,,,+1 9057913313
node/9008371757,The Jack Rollers Resto-Bar Lounge,43.7000106,-79.7425919,,,,,,
node/9008380207,Calypso Hut,43.7007817,-79.7417679,,,,,,
node/10780162890,Heritage Fish & Chips,43.7022411,-79.7366409,"295, Queen Street East",,,,https://www.heritagefishnchips.com,+1 905-451-0725
node/10780162898,Saigon House,43.7022212,-79.7386091,"295, Queen Street East, Brampton, L6W 3W9",Brampton,,L6W 3W9,https://saigonhouserestaurant.ca/,+1 905-874-8111
node/10780162899,Tikka Junction,43.7021162,-79.7387477,"295, Queen Street East, Brampton, L6W 3R1",Brampton,,L6W 3R1,https://tikkajunctioncanada.com/,+1 647-514-4375
node/10780162901,Pizza Hut,43.7021838,-79.7392235,,,,,https://www.pizzahut.ca/huts/ca-1/R32810/,+1 905-454-8888
node/10780162902,Naija Jollof,43.7022369,-79.7393187,,,,,,
node/10780168409,Great Canadian Bagel,43.7025989,-79.7398789,"295, Queen Street East, Brampton",Brampton,,,https://greatcanadianbagel.com/,+1 905-450-7353
node/10786042439,SunRise Caribbean Restaurant,43.7021772,-79.7415549,,,,,https://sunrisecaribbean.com/,+1 905-453-2084
node/10786042440,,43.7022137,-79.7415052,,,,,,
node/10822992492,Shriji Express,43.704929,-79.7262257,,,,,,+1 647-204-8969
node/10822992500,Shriji Catering & Take-out,43.7040698,-79.725515,,,,,https://shrijicatering.ca/,+1 905-451-4050
node/10822992501,Dreamz Restaurant,43.7040947,-79.7256368,,,,,,+1 905-456-1051
node/12752276980,Mirch Masala,43.7002486,-79.743651,,,,,https://www.mirchmasalabrampton.ca/,+1-905-216-7322
node/12863379740,Punjabi Chaap Corner,43.6907316,-79.6708666,,,,,,
node/12897620706,Hakkalicious,43.7294093,-79.7638052,,,,,,
node/13318237528,Swagruhas Dosa Home,43.7096415,-79.6534999,,,,,,
node/13618683752,Stacked Pancake & Breakfast House,43.7298697,-79.7668873,"70, Great Lakes Dr, Brampton, L6R 2K7",Brampton,,L6R 2K7,https://www.stackedpancakehouse.ca/restaurant/brampton-great-lakes-dr,+1-905-500-1654
way/34395939,Swiss Chalet,43.7066865,-79.736134,"160, West Drive, Brampton, L6T 5P1",Brampton,,L6T 5P1,https://www.swisschalet.com/,
way/34720162,Tandoori Haveli,43.6940935,-79.7017133,,,,,,+1 905-796-6666
way/270352681,Musafir Kitchen and Bar,43.707528,-79.735312,"156, West Drive, Brampton, L6T 5P1",Brampton,,L6T 5P1,https://www.musafirkitchen.ca/,+1-905-455-0100
way/662123528,Jack Astor's,43.7083805,-79.73421,"154, West Drive, Brampton, L6T 5P1",Brampton,,L6T 5P1,,
node/520084037,Paramount Fine Foods,43.6815569,-79.714949,,,,,https://www.paramountfinefoods.com/,+1-905-450-1811
node/771994528,Swiss Chalet,43.7135688,-79.7800338,,,,,,
node/887551944,Sushi House,43.6878908,-79.7631359,,,,,,
